tios_groupid,group_name,base,cow_id1,Education_count,Health_count,Security_count,Financial_count,Disaster_count,PublicServices_count,Religious_count,Total_Service_count,Religious,PublicServices,NatDisaster,FinancialJobsWelfareSubsidies,SecurityJustice,HealthEmergency,EducationYouthRecreation,service_coverage,PctEducationYouthRecreation,pctHealthEmergency,pctFinancialJobsWelfareSubsidies,pctSecurityJustice,pctNatDisaster,pctPublicServices,pctReligious,pctMadrassas,pctTunnels,pctUncertain,service_involvement,top_services,logtotal,logservice_coverage,Total_Service_Normalized,Education_Normalized,Health_Normalized,Security_Normalized,Financial_Normalized,Disaster_Normalized,Public_Normalized,Religious_Normalized,Total_Service_Rank,Total_Service_Percentile,Education_count_rank,Education_count_percentile,Health_count_rank,Health_count_percentile,Security_count_rank,Security_count_percentile,Financial_count_rank,Financial_count_percentile,Disaster_count_rank,Disaster_count_percentile,PublicServices_count_rank,PublicServices_count_percentile,Religious_count_rank,Religious_count_percentile,Total_Service_count_rank,Total_Service_count_percentile,PC_TotalServiceCount,RANK_PC_TSC,Norm_RANK_PC_TSC,PC_Education_count,RANK_PC_Education_count,Norm_RANK_PC_Education_count,PC_Health_count,RANK_PC_Health_count,Norm_RANK_PC_Health_count,PC_Security_count,PC_Financial_count,RANK_PC_Financial_count,Norm_RANK_PC_Financial_count,PC_Disaster_count,RANK_PC_Disaster_count,Norm_RANK_PC_Disaster_count,PC_PublicServices_count,RANK_PC_PublicServices_count,Norm_RANK_PC_PublicServ_count,PC_Religious_count,RANK_PC_Religious_count,Norm_RANK_PC_Religious_count,RANK_PC_Security_count,Norm_RANK_PC_Security_count,TotalNewsCoverage,year
454,Arab Struggle Movement for the Liberation of Ahvaz,Iran,630,2,0,0,0,0,4,4,12,1,1,0,0,0,0,1,4,.16666667,0,0,0,0,.33333334,.33333334,0,0,.16666667,12,1,7.4342575,1.3862944,.0004681648,.00028810141,0,0,0,0,.00053085602,.0010341262,23.5,.9403553,54,.86294419,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,29,.92639595,107.5,.72715735,23.5,.9403553,.0010600997,23.5,.059644669,.0018538773,54,.13705584,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00094274251,29,.073604062,.0059514954,107.5,.27284265,20,.05076142,1693,0
167,Shurafa al-Urdun,Jordan,663,4,0,0,0,0,8,0,22,0,1,0,0,0,0,1,3,.18181819,0,0,0,0,.36363637,0,0,0,.45454547,4.4000001,1,8.0304098,1.0986123,.00085830211,.00057620282,0,0,0,0,.001061712,0,38.5,.90228426,75,.8096447,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,45,.88578683,28,.92893404,38.5,.90228426,.0019435161,38.5,.097715735,.0037077547,75,.19035533,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.001885485,45,.1142132,0,28,.071065992,20,.05076142,3073,5
246,January 31 Popular Front,Guatemala,90,4,3,0,1,0,10,0,25,0,1,0,1,0,1,1,6,.16,.12,.039999999,0,0,.40000001,0,.23999999,0,.039999999,25,1,7.7102051,1.7917595,.00097534334,.00057620282,.00082417583,0,.00041946309,0,.00132714,0,41,.89593911,75,.8096447,91,.76903552,20,.9492386,44.5,.88705581,41,.89593911,56.5,.85659897,28,.92893404,41,.89593911,.0022085411,41,.10406091,.0037077547,75,.19035533,.0047926386,91,.23096447,.0047926386,.0010580219,44.5,.11294416,0,41,.10406091,.0023568564,56.5,.14340101,0,28,.071065992,20,.05076142,2231,1
388,Clandestini Corsi,"Corsica, France",220,0,4,0,4,0,14,2,26,1,1,0,1,0,1,0,5,0,.15384616,.15384616,0,0,.53846157,.07692308,0,0,.07692308,3.7142856,1,8.4790754,1.6094379,.0010143571,0,.0010989011,0,.0016778524,0,.001857996,.00051706308,42.5,.89213198,19,.95177662,101,.74365485,20,.9492386,81.5,.79314721,41,.89593911,63,.84010154,81,.79441625,42.5,.89213198,.0022968827,42.5,.10786802,0,19,.04822335,.0063901846,101,.25634518,.0063901846,.0042320876,81.5,.20685279,0,41,.10406091,.0032995988,63,.15989847,.0029757477,81,.20558375,20,.05076142,4813,7
309,Turkish People's Liberation Front (TPLF) (THKP-C),Turkey,640,2,0,0,2,1,9,0,26,0,1,1,1,0,0,1,5,.07692308,0,.07692308,0,.03846154,.34615386,0,0,0,.46153846,1,1,7.9638081,1.6094379,.0010143571,.00028810141,0,0,.00083892618,.00027196083,.001194426,0,42.5,.89213198,54,.86294419,29.5,.92512691,20,.9492386,56,.85786802,93,.76395941,50.5,.87182742,28,.92893404,42.5,.89213198,.0022968827,42.5,.10786802,.0018538773,54,.13705584,0,29.5,.074873097,0,.0021160438,56,.14213198,.0017153542,93,.23604061,.0021211707,50.5,.12817259,0,28,.071065992,20,.05076142,2875,26
121,New Red Brigades/Communist Combatant Party,Italy,325,15,0,0,0,0,0,0,16,0,0,0,0,0,0,1,2,.9375,0,0,0,0,0,0,.0625,0,0,.72727275,0,7.3427792,.69314718,.00062421971,.0021607606,0,0,0,0,0,0,32,.9187817,139.5,.64593911,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,4,.98984772,28,.92893404,32,.9187817,.0014134663,32,.081218272,.013904081,139.5,.35406092,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,0,4,.010152284,0,28,.071065992,20,.05076142,1545,22
237,Armed Revolutionary Left,Ecuador,130,0,0,0,0,0,2,1,4,1,1,0,0,0,0,0,3,0,0,0,0,0,.5,.25,0,0,.25,2,0,6.1420374,1.0986123,.00015605493,0,0,0,0,0,.00026542801,.00025853154,9,.97715735,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,17.5,.95558375,64.5,.83629441,9,.97715735,.00035336657,9,.02284264,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00047137126,17.5,.044416245,.0014878738,64.5,.16370559,20,.05076142,465,2
202,Canary Islands Independence Movement,"Algeria, Spain",615,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,.66666669,0,0,0,.33333334,3,0,6.3261495,.69314718,.0001170412,0,0,0,0,0,.00026542801,0,7,.98223352,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,17.5,.95558375,28,.92893404,7,.98223352,.00026502492,7,.017766498,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00047137126,17.5,.044416245,0,28,.071065992,20,.05076142,559,0
123,Saif-ul-Muslimeen,Afghanistan,700,0,0,0,2,0,4,0,6,0,1,0,1,0,0,0,2,0,0,.33333334,0,0,.66666669,0,0,0,0,2,0,6.616065,.69314718,.0002340824,0,0,0,.00083892618,0,.00053085602,0,13,.96700507,19,.95177662,29.5,.92512691,20,.9492386,56,.85786802,41,.89593911,29,.92639595,28,.92893404,13,.96700507,.00053004985,13,.032994922,0,19,.04822335,0,29.5,.074873097,0,.0021160438,56,.14213198,0,41,.10406091,.00094274251,29,.073604062,0,28,.071065992,20,.05076142,747,3
50,Kuki Liberation Army (KLA),India,750,3,0,0,0,1,25,0,34,0,1,1,0,0,0,1,4,.088235296,0,0,0,.029411765,.7352941,0,0,0,.14705883,4.25,1,8.0891752,1.3862944,.0013264669,.00043215213,0,0,0,.00027196083,.0033178499,0,51,.87055838,63.5,.8388325,29.5,.92512691,20,.9492386,20.5,.94796956,93,.76395941,82,.79187816,28,.92893404,51,.87055838,.0030036159,51,.12944162,.0027808161,63.5,.16116752,0,29.5,.074873097,0,0,20.5,.052030455,.0017153542,93,.23604061,.0058921408,82,.20812182,0,28,.071065992,20,.05076142,3259,8
